topic,paper_ID,sentence_ID,sentence,words,BIO,POS,length
machine-translation,8,122,The encoder of the RNNsearch consists of forward and backward recurrent neural networks ( RNN ) each having 1000 hidden units .,"['The', 'encoder', 'of', 'the', 'RNNsearch', 'consists', 'of', 'forward', 'and', 'backward', 'recurrent', 'neural', 'networks', '(', 'RNN', ')', 'each', 'having', '1000', 'hidden', 'units', '.']","['O', 'B-p', 'I-p', 'O', 'B-n', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'O']","['DT', 'NN', 'IN', 'DT', 'NNP', 'VBZ', 'IN', 'NN', 'CC', 'NN', 'NN', 'JJ', 'NNS', '(', 'NNP', ')', 'DT', 'VBG', 'CD', 'JJ', 'NNS', '.']",22
machine-translation,8,123,It s decoder has 1000 hidden units .,"['It', 's', 'decoder', 'has', '1000', 'hidden', 'units', '.']","['O', 'O', 'B-n', 'O', 'B-n', 'B-p', 'I-p', 'O']","['PRP', 'VBZ', 'NN', 'VBZ', 'CD', 'JJ', 'NNS', '.']",8
machine-translation,8,124,"In both cases , we use a multilayer network with a single maxout hidden layer to compute the conditional probability of each target word .","['In', 'both', 'cases', ',', 'we', 'use', 'a', 'multilayer', 'network', 'with', 'a', 'single', 'maxout', 'hidden', 'layer', 'to', 'compute', 'the', 'conditional', 'probability', 'of', 'each', 'target', 'word', '.']","['O', 'O', 'O', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'O']","['IN', 'DT', 'NNS', ',', 'PRP', 'VBP', 'DT', 'NN', 'NN', 'IN', 'DT', 'JJ', 'NN', 'VBN', 'NN', 'TO', 'VB', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'NN', '.']",25
machine-translation,8,141,"In , we see that the performance of RNNencdec dramatically drops as the length of the sentences increases .","['In', ',', 'we', 'see', 'that', 'the', 'performance', 'of', 'RNNencdec', 'dramatically', 'drops', 'as', 'the', 'length', 'of', 'the', 'sentences', 'increases', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'B-n', 'B-p', 'I-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['IN', ',', 'PRP', 'VBP', 'IN', 'DT', 'NN', 'IN', 'NNP', 'RB', 'VBZ', 'IN', 'DT', 'NN', 'IN', 'DT', 'NNS', 'VBZ', '.']",19
machine-translation,8,142,"On the other hand , both RNNsearch - 30 and RNNsearch - 50 are more robust to the length of the sentences .","['On', 'the', 'other', 'hand', ',', 'both', 'RNNsearch', '-', '30', 'and', 'RNNsearch', '-', '50', 'are', 'more', 'robust', 'to', 'the', 'length', 'of', 'the', 'sentences', '.']","['O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'I-p', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O']","['IN', 'DT', 'JJ', 'NN', ',', 'DT', 'NNP', ':', 'CD', 'CC', 'NNP', ':', 'CD', 'VBP', 'JJR', 'JJ', 'TO', 'DT', 'NN', 'IN', 'DT', 'NNS', '.']",23
machine-translation,8,143,"RNNsearch - 50 , especially , shows no performance deterioration even with sentences of length 50 or more .","['RNNsearch', '-', '50', ',', 'especially', ',', 'shows', 'no', 'performance', 'deterioration', 'even', 'with', 'sentences', 'of', 'length', '50', 'or', 'more', '.']","['B-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'B-p', 'I-p', 'I-p', 'O', 'B-p', 'B-n', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'O']","['NNP', ':', 'CD', ',', 'RB', ',', 'VBZ', 'DT', 'NN', 'NN', 'RB', 'IN', 'NNS', 'IN', 'NN', 'CD', 'CC', 'JJR', '.']",19
machine-translation,8,144,This superiority of the proposed model over the basic encoder - decoder is further confirmed by the fact that the RNNsearch - 30 even outperforms RNNencdec - 50 ( see ) .,"['This', 'superiority', 'of', 'the', 'proposed', 'model', 'over', 'the', 'basic', 'encoder', '-', 'decoder', 'is', 'further', 'confirmed', 'by', 'the', 'fact', 'that', 'the', 'RNNsearch', '-', '30', 'even', 'outperforms', 'RNNencdec', '-', '50', '(', 'see', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'B-p', 'B-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O']","['DT', 'NN', 'IN', 'DT', 'VBN', 'NN', 'IN', 'DT', 'JJ', 'NN', ':', 'NN', 'VBZ', 'RB', 'VBN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NNP', ':', 'CD', 'RB', 'NNS', 'NNP', ':', 'CD', '(', 'NN', ')', '.']",32
machine-translation,9,2,Under review as a conference paper at ICLR 2018 COMPRESSING WORD EMBEDDINGS VIA DEEP COMPOSITIONAL CODE LEARNING,"['Under', 'review', 'as', 'a', 'conference', 'paper', 'at', 'ICLR', '2018', 'COMPRESSING', 'WORD', 'EMBEDDINGS', 'VIA', 'DEEP', 'COMPOSITIONAL', 'CODE', 'LEARNING']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O']","['IN', 'NN', 'IN', 'DT', 'NN', 'NN', 'IN', 'NNP', 'CD', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",17
machine-translation,9,5,Deploying neural NLP models to mobile devices requires compressing the word embeddings without any significant sacrifices in performance .,"['Deploying', 'neural', 'NLP', 'models', 'to', 'mobile', 'devices', 'requires', 'compressing', 'the', 'word', 'embeddings', 'without', 'any', 'significant', 'sacrifices', 'in', 'performance', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['VBG', 'JJ', 'NNP', 'NNS', 'TO', 'VB', 'NNS', 'VBZ', 'VBG', 'DT', 'NN', 'VBZ', 'IN', 'DT', 'JJ', 'NNS', 'IN', 'NN', '.']",19
machine-translation,9,24,"Thus , it is becoming more important to compress the size of NLP models for deployment to devices with limited memory or storage capacity .","['Thus', ',', 'it', 'is', 'becoming', 'more', 'important', 'to', 'compress', 'the', 'size', 'of', 'NLP', 'models', 'for', 'deployment', 'to', 'devices', 'with', 'limited', 'memory', 'or', 'storage', 'capacity', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['RB', ',', 'PRP', 'VBZ', 'VBG', 'RBR', 'JJ', 'TO', 'VB', 'DT', 'NN', 'IN', 'NNP', 'NNS', 'IN', 'NN', 'TO', 'NNS', 'IN', 'JJ', 'NN', 'CC', 'NN', 'NN', '.']",25
machine-translation,9,32,"Following the intuition of creating partially shared embeddings , instead of assigning each word a unique ID , we represent each word w with a code C w = ( C 1 w , C 2 w , ... , C M w ) .","['Following', 'the', 'intuition', 'of', 'creating', 'partially', 'shared', 'embeddings', ',', 'instead', 'of', 'assigning', 'each', 'word', 'a', 'unique', 'ID', ',', 'we', 'represent', 'each', 'word', 'w', 'with', 'a', 'code', 'C', 'w', '=', '(', 'C', '1', 'w', ',', 'C', '2', 'w', ',', '...', ',', 'C', 'M', 'w', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['VBG', 'DT', 'NN', 'IN', 'VBG', 'RB', 'VBN', 'NNS', ',', 'RB', 'IN', 'VBG', 'DT', 'NN', 'DT', 'JJ', 'NNP', ',', 'PRP', 'VBP', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', 'NNP', 'NN', 'NNP', '(', 'NNP', 'CD', 'NN', ',', 'NNP', 'CD', 'NN', ',', ':', ',', 'NNP', 'NNP', 'NN', ')', '.']",45
machine-translation,9,37,"Once we have obtained such compact codes for all words in the vocabulary , we use embedding vectors to represent the codes rather than the unique words .","['Once', 'we', 'have', 'obtained', 'such', 'compact', 'codes', 'for', 'all', 'words', 'in', 'the', 'vocabulary', ',', 'we', 'use', 'embedding', 'vectors', 'to', 'represent', 'the', 'codes', 'rather', 'than', 'the', 'unique', 'words', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'B-p', 'I-p', 'O', 'O', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'O']","['RB', 'PRP', 'VBP', 'VBN', 'JJ', 'JJ', 'NNS', 'IN', 'DT', 'NNS', 'IN', 'DT', 'JJ', ',', 'PRP', 'VBP', 'VBG', 'NNS', 'TO', 'VB', 'DT', 'NNS', 'RB', 'IN', 'DT', 'JJ', 'NNS', '.']",28
machine-translation,9,38,"More specifically , we create M codebooks E 1 , E 2 , ... , EM , each containing K codeword vectors .","['More', 'specifically', ',', 'we', 'create', 'M', 'codebooks', 'E', '1', ',', 'E', '2', ',', '...', ',', 'EM', ',', 'each', 'containing', 'K', 'codeword', 'vectors', '.']","['O', 'O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'O']","['RBR', 'RB', ',', 'PRP', 'VBP', 'NNP', 'VBZ', 'NNP', 'CD', ',', 'NNP', 'CD', ',', ':', ',', 'NNP', ',', 'DT', 'VBG', 'NNP', 'NN', 'NNS', '.']",23
machine-translation,9,39,The embedding of a word is computed by summing up the codewords corresponding to all the components in the code as,"['The', 'embedding', 'of', 'a', 'word', 'is', 'computed', 'by', 'summing', 'up', 'the', 'codewords', 'corresponding', 'to', 'all', 'the', 'components', 'in', 'the', 'code', 'as']","['O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'B-p', 'I-p', 'I-p', 'O', 'B-n', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['DT', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'VBN', 'IN', 'VBG', 'RP', 'DT', 'NNS', 'VBG', 'TO', 'PDT', 'DT', 'NNS', 'IN', 'DT', 'NN', 'IN']",21
machine-translation,9,55,"In this work , we utilize such codes for a different purpose , that is , constructing word embeddings with drastically fewer parameters .","['In', 'this', 'work', ',', 'we', 'utilize', 'such', 'codes', 'for', 'a', 'different', 'purpose', ',', 'that', 'is', ',', 'constructing', 'word', 'embeddings', 'with', 'drastically', 'fewer', 'parameters', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['IN', 'DT', 'NN', ',', 'PRP', 'VBP', 'JJ', 'NNS', 'IN', 'DT', 'JJ', 'NN', ',', 'WDT', 'VBZ', ',', 'VBG', 'NN', 'NNS', 'IN', 'RB', 'JJR', 'NNS', '.']",24
machine-translation,9,59,We utilize the Gumbel - softmax trick to find the best discrete codes that minimize the loss .,"['We', 'utilize', 'the', 'Gumbel', '-', 'softmax', 'trick', 'to', 'find', 'the', 'best', 'discrete', 'codes', 'that', 'minimize', 'the', 'loss', '.']","['O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'O', 'B-p', 'O', 'B-n', 'O']","['PRP', 'VBP', 'DT', 'NNP', ':', 'NN', 'NN', 'TO', 'VB', 'DT', 'JJS', 'JJ', 'NNS', 'WDT', 'VBP', 'DT', 'NN', '.']",18
machine-translation,9,165,CODE LEARNING,"['CODE', 'LEARNING']","['B-n', 'I-n']","['NNP', 'NNP']",2
machine-translation,9,171,"In each iteration , a small batch of the embeddings is sampled uniformly from the baseline embedding matrix .","['In', 'each', 'iteration', ',', 'a', 'small', 'batch', 'of', 'the', 'embeddings', 'is', 'sampled', 'uniformly', 'from', 'the', 'baseline', 'embedding', 'matrix', '.']","['O', 'O', 'O', 'O', 'O', 'B-p', 'I-p', 'I-p', 'I-p', 'I-p', 'O', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'O']","['IN', 'DT', 'NN', ',', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NNS', 'VBZ', 'VBN', 'RB', 'IN', 'DT', 'NN', 'VBG', 'NN', '.']",19
machine-translation,9,173,"In our experiments , the batch size is set to 128 .","['In', 'our', 'experiments', ',', 'the', 'batch', 'size', 'is', 'set', 'to', '128', '.']","['O', 'O', 'O', 'O', 'O', 'B-p', 'I-p', 'O', 'O', 'O', 'B-n', 'O']","['IN', 'PRP$', 'NNS', ',', 'DT', 'NN', 'NN', 'VBZ', 'VBN', 'TO', 'CD', '.']",12
machine-translation,9,174,We use Adam optimizer with a fixed learning rate of 0.0001 .,"['We', 'use', 'Adam', 'optimizer', 'with', 'a', 'fixed', 'learning', 'rate', 'of', '0.0001', '.']","['O', 'B-p', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'O']","['PRP', 'VBP', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'VBG', 'NN', 'IN', 'CD', '.']",12
machine-translation,9,175,The training is run for 200K iterations .,"['The', 'training', 'is', 'run', 'for', '200K', 'iterations', '.']","['O', 'B-p', 'O', 'O', 'O', 'B-n', 'I-n', 'O']","['DT', 'NN', 'VBZ', 'VBN', 'IN', 'CD', 'NNS', '.']",8
machine-translation,9,177,"We evenly distribute the model training to 4 GPUs using the nccl package , so that one round of code learning takes around 15 minutes to complete .","['We', 'evenly', 'distribute', 'the', 'model', 'training', 'to', '4', 'GPUs', 'using', 'the', 'nccl', 'package', ',', 'so', 'that', 'one', 'round', 'of', 'code', 'learning', 'takes', 'around', '15', 'minutes', 'to', 'complete', '.']","['O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'O', 'B-n', 'B-p', 'B-p', 'O', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['PRP', 'RB', 'VBP', 'DT', 'NN', 'NN', 'TO', 'CD', 'NNP', 'VBG', 'DT', 'JJ', 'NN', ',', 'IN', 'DT', 'CD', 'NN', 'IN', 'NN', 'VBG', 'VBZ', 'IN', 'CD', 'NNS', 'TO', 'VB', '.']",28
machine-translation,9,178,SENTIMENT ANALYSIS,"['SENTIMENT', 'ANALYSIS']","['B-n', 'I-n']","['NN', 'NN']",2
machine-translation,9,193,The models are trained with Adam optimizer for 15 epochs with a fixed learning rate of 0.0001 .,"['The', 'models', 'are', 'trained', 'with', 'Adam', 'optimizer', 'for', '15', 'epochs', 'with', 'a', 'fixed', 'learning', 'rate', 'of', '0.0001', '.']","['O', 'O', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'O']","['DT', 'NNS', 'VBP', 'VBN', 'IN', 'NNP', 'NN', 'IN', 'CD', 'NNS', 'IN', 'DT', 'JJ', 'VBG', 'NN', 'IN', 'CD', '.']",18
machine-translation,9,206,"For our proposed methods , the maximum loss - free compression rate is achieved by a 16 32 coding scheme .","['For', 'our', 'proposed', 'methods', ',', 'the', 'maximum', 'loss', '-', 'free', 'compression', 'rate', 'is', 'achieved', 'by', 'a', '16', '32', 'coding', 'scheme', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'I-p', 'I-p', 'I-p', 'B-n', 'I-n', 'O', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O']","['IN', 'PRP$', 'VBN', 'NNS', ',', 'DT', 'JJ', 'NN', ':', 'JJ', 'NN', 'NN', 'VBZ', 'VBN', 'IN', 'DT', 'CD', 'CD', 'VBG', 'NN', '.']",21
machine-translation,9,208,We also found the classification accuracy can be substantially improved with a slightly lower compression rate .,"['We', 'also', 'found', 'the', 'classification', 'accuracy', 'can', 'be', 'substantially', 'improved', 'with', 'a', 'slightly', 'lower', 'compression', 'rate', '.']","['O', 'O', 'O', 'O', 'B-n', 'I-n', 'O', 'O', 'B-p', 'I-p', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O']","['PRP', 'RB', 'VBD', 'DT', 'NN', 'NN', 'MD', 'VB', 'RB', 'VBN', 'IN', 'DT', 'RB', 'JJR', 'NN', 'NN', '.']",17
machine-translation,9,210,MACHINE TRANSLATION,"['MACHINE', 'TRANSLATION']","['B-n', 'I-n']","['NNP', 'NNP']",2
machine-translation,9,233,All models are trained by Nesterov 's accelerated gradient with an initial learning rate of 0.25 .,"['All', 'models', 'are', 'trained', 'by', 'Nesterov', ""'s"", 'accelerated', 'gradient', 'with', 'an', 'initial', 'learning', 'rate', 'of', '0.25', '.']","['O', 'O', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'O']","['DT', 'NNS', 'VBP', 'VBN', 'IN', 'NNP', 'POS', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NN', 'IN', 'CD', '.']",17
